 09-Dec-2012       (rnp_101.dat - 1.0*Aver(rnp_100.dat,rnp_102.dat) /  0.5600 
 rnp_101.dat  Conc = .56E+00  N1 =    1  N2 = 1043
 rnp_100.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
 rnp_102.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
  0.886122E-01  0.226315E+03  0.166183E+01
  0.929302E-01  0.224736E+03  0.165607E+01
  0.972482E-01  0.223040E+03  0.158435E+01
  0.101566E+00  0.221560E+03  0.154763E+01
  0.105884E+00  0.217205E+03  0.141563E+01
  0.110202E+00  0.215688E+03  0.146011E+01
  0.114520E+00  0.213469E+03  0.134815E+01
  0.118838E+00  0.209039E+03  0.127560E+01
  0.123157E+00  0.206744E+03  0.124589E+01
  0.127475E+00  0.201837E+03  0.122684E+01
  0.131793E+00  0.200510E+03  0.120378E+01
  0.136111E+00  0.197769E+03  0.120758E+01
  0.140429E+00  0.195084E+03  0.112490E+01
  0.144747E+00  0.191563E+03  0.111049E+01
  0.149065E+00  0.188156E+03  0.111611E+01
  0.153383E+00  0.187323E+03  0.103925E+01
  0.157701E+00  0.183464E+03  0.105872E+01
  0.162019E+00  0.180934E+03  0.981646E+00
  0.166337E+00  0.177331E+03  0.103808E+01
  0.170655E+00  0.175504E+03  0.964378E+00
  0.174973E+00  0.173552E+03  0.962096E+00
  0.179291E+00  0.169463E+03  0.954438E+00
  0.183609E+00  0.164545E+03  0.935595E+00
  0.187927E+00  0.165001E+03  0.878769E+00
  0.192245E+00  0.161370E+03  0.910463E+00
  0.196563E+00  0.157547E+03  0.849121E+00
  0.200881E+00  0.153690E+03  0.889797E+00
  0.205199E+00  0.151577E+03  0.837441E+00
  0.209517E+00  0.150142E+03  0.839528E+00
  0.213836E+00  0.145898E+03  0.816433E+00
  0.218154E+00  0.143777E+03  0.831704E+00
  0.222472E+00  0.141943E+03  0.780219E+00
  0.226790E+00  0.138598E+03  0.794021E+00
  0.231108E+00  0.136123E+03  0.778726E+00
  0.235426E+00  0.133668E+03  0.816812E+00
  0.239744E+00  0.131398E+03  0.771062E+00
  0.244062E+00  0.127998E+03  0.825255E+00
  0.248380E+00  0.125525E+03  0.776948E+00
  0.252698E+00  0.122898E+03  0.778305E+00
  0.257016E+00  0.120153E+03  0.744317E+00
  0.261334E+00  0.119015E+03  0.758442E+00
  0.265652E+00  0.114981E+03  0.764365E+00
  0.269970E+00  0.112519E+03  0.743402E+00
  0.274288E+00  0.110252E+03  0.775536E+00
  0.278606E+00  0.108568E+03  0.719196E+00
  0.282924E+00  0.104786E+03  0.746734E+00
  0.287242E+00  0.103262E+03  0.731612E+00
  0.291560E+00  0.101044E+03  0.693893E+00
  0.295878E+00  0.979422E+02  0.691320E+00
  0.300196E+00  0.969848E+02  0.674028E+00
  0.304515E+00  0.942134E+02  0.653714E+00
  0.308833E+00  0.919263E+02  0.663247E+00
  0.313150E+00  0.894729E+02  0.634012E+00
  0.317469E+00  0.887171E+02  0.641222E+00
  0.321787E+00  0.857659E+02  0.608491E+00
  0.326105E+00  0.825210E+02  0.605420E+00
  0.330423E+00  0.816534E+02  0.587055E+00
  0.334741E+00  0.795027E+02  0.606729E+00
  0.339059E+00  0.776705E+02  0.574639E+00
  0.343377E+00  0.751262E+02  0.595539E+00
  0.347695E+00  0.741178E+02  0.564330E+00
  0.352013E+00  0.713160E+02  0.567236E+00
  0.356331E+00  0.700212E+02  0.558792E+00
  0.360649E+00  0.689822E+02  0.540669E+00
  0.364967E+00  0.660485E+02  0.529886E+00
  0.369285E+00  0.660556E+02  0.541778E+00
  0.373603E+00  0.636795E+02  0.529705E+00
  0.377921E+00  0.619138E+02  0.519620E+00
  0.382239E+00  0.594651E+02  0.531401E+00
  0.386557E+00  0.586950E+02  0.513544E+00
  0.390875E+00  0.570989E+02  0.510373E+00
  0.395193E+00  0.543215E+02  0.491839E+00
  0.399512E+00  0.540127E+02  0.494038E+00
  0.403830E+00  0.532384E+02  0.491239E+00
  0.408148E+00  0.509465E+02  0.487896E+00
  0.412466E+00  0.501546E+02  0.480242E+00
  0.416784E+00  0.487839E+02  0.489252E+00
  0.421102E+00  0.474533E+02  0.466701E+00
  0.425420E+00  0.466033E+02  0.477926E+00
  0.429738E+00  0.448002E+02  0.450627E+00
  0.434056E+00  0.430634E+02  0.466261E+00
  0.438374E+00  0.421935E+02  0.451237E+00
  0.442692E+00  0.408831E+02  0.455157E+00
  0.447010E+00  0.403195E+02  0.443841E+00
  0.451328E+00  0.394546E+02  0.454134E+00
  0.455646E+00  0.383795E+02  0.439390E+00
  0.459964E+00  0.366405E+02  0.438255E+00
  0.464282E+00  0.355893E+02  0.420983E+00
  0.468600E+00  0.346465E+02  0.430683E+00
  0.472918E+00  0.335403E+02  0.420933E+00
  0.477236E+00  0.318183E+02  0.429846E+00
  0.481554E+00  0.318572E+02  0.412746E+00
  0.485872E+00  0.308774E+02  0.425402E+00
  0.490190E+00  0.305492E+02  0.412270E+00
  0.494509E+00  0.289372E+02  0.403565E+00
  0.498827E+00  0.265046E+02  0.403767E+00
  0.503145E+00  0.276589E+02  0.396693E+00
  0.507463E+00  0.267939E+02  0.407113E+00
  0.511781E+00  0.257671E+02  0.393416E+00
  0.516099E+00  0.253167E+02  0.393949E+00
  0.520417E+00  0.247763E+02  0.399187E+00
  0.524735E+00  0.239438E+02  0.392592E+00
  0.529053E+00  0.238244E+02  0.398409E+00
  0.533371E+00  0.227063E+02  0.394382E+00
  0.537689E+00  0.213817E+02  0.393073E+00
  0.542007E+00  0.210688E+02  0.397709E+00
  0.546325E+00  0.205033E+02  0.388648E+00
  0.550643E+00  0.209311E+02  0.402592E+00
  0.554961E+00  0.196936E+02  0.389561E+00
  0.559279E+00  0.187671E+02  0.398684E+00
  0.563597E+00  0.183024E+02  0.384481E+00
  0.567915E+00  0.181398E+02  0.389929E+00
  0.572233E+00  0.176394E+02  0.384310E+00
  0.576551E+00  0.173191E+02  0.388950E+00
  0.580869E+00  0.172017E+02  0.388699E+00
  0.585187E+00  0.158026E+02  0.386934E+00
  0.589506E+00  0.162699E+02  0.383670E+00
  0.593823E+00  0.157621E+02  0.386174E+00
  0.598142E+00  0.146625E+02  0.376932E+00
  0.602460E+00  0.153592E+02  0.383008E+00
  0.606778E+00  0.141321E+02  0.368860E+00
  0.611096E+00  0.137291E+02  0.378271E+00
  0.615414E+00  0.141488E+02  0.381267E+00
  0.619732E+00  0.129107E+02  0.375262E+00
  0.624050E+00  0.132258E+02  0.379954E+00
  0.628368E+00  0.132867E+02  0.368725E+00
  0.632686E+00  0.123393E+02  0.365101E+00
  0.637004E+00  0.120902E+02  0.372150E+00
  0.641322E+00  0.114004E+02  0.366734E+00
  0.645640E+00  0.113420E+02  0.368616E+00
  0.649958E+00  0.116552E+02  0.366036E+00
  0.654276E+00  0.112590E+02  0.364874E+00
  0.658594E+00  0.104120E+02  0.371865E+00
  0.662912E+00  0.112125E+02  0.359985E+00
  0.667230E+00  0.103669E+02  0.366745E+00
  0.671548E+00  0.100633E+02  0.355145E+00
  0.675866E+00  0.103662E+02  0.364113E+00
  0.680184E+00  0.981176E+01  0.355047E+00
  0.684503E+00  0.967097E+01  0.357146E+00
  0.688820E+00  0.985006E+01  0.357852E+00
  0.693139E+00  0.881080E+01  0.357697E+00
  0.697457E+00  0.820472E+01  0.356626E+00
  0.701775E+00  0.831092E+01  0.351396E+00
  0.706093E+00  0.861216E+01  0.349769E+00
  0.710411E+00  0.789549E+01  0.351197E+00
  0.714729E+00  0.798936E+01  0.343427E+00
  0.719047E+00  0.775705E+01  0.360609E+00
  0.723365E+00  0.826853E+01  0.345209E+00
  0.727683E+00  0.726206E+01  0.347725E+00
  0.732001E+00  0.799806E+01  0.349565E+00
  0.736319E+00  0.732454E+01  0.342204E+00
  0.740637E+00  0.670897E+01  0.342796E+00
  0.744955E+00  0.721910E+01  0.343698E+00
  0.749273E+00  0.707302E+01  0.340020E+00
  0.753591E+00  0.690870E+01  0.340530E+00
  0.757909E+00  0.720160E+01  0.341954E+00
  0.762227E+00  0.680812E+01  0.340044E+00
  0.766545E+00  0.716279E+01  0.342563E+00
  0.770863E+00  0.680444E+01  0.329520E+00
  0.775181E+00  0.636589E+01  0.335403E+00
  0.779500E+00  0.560628E+01  0.331649E+00
  0.783818E+00  0.612747E+01  0.337235E+00
  0.788136E+00  0.597937E+01  0.328840E+00
  0.792454E+00  0.560468E+01  0.337479E+00
  0.796772E+00  0.569346E+01  0.328264E+00
  0.801090E+00  0.557257E+01  0.331761E+00
  0.805408E+00  0.549701E+01  0.327285E+00
  0.809726E+00  0.516567E+01  0.323376E+00
  0.814044E+00  0.510802E+01  0.329099E+00
  0.818362E+00  0.525529E+01  0.329853E+00
  0.822680E+00  0.607553E+01  0.321204E+00
  0.826998E+00  0.528298E+01  0.331394E+00
  0.831316E+00  0.496114E+01  0.317099E+00
  0.835634E+00  0.472996E+01  0.332690E+00
  0.839952E+00  0.501306E+01  0.319458E+00
  0.844270E+00  0.493954E+01  0.334182E+00
  0.848588E+00  0.443201E+01  0.333436E+00
  0.852906E+00  0.456900E+01  0.331527E+00
  0.857224E+00  0.430907E+01  0.343696E+00
  0.861542E+00  0.405011E+01  0.334939E+00
  0.865860E+00  0.405760E+01  0.342755E+00
  0.870178E+00  0.481430E+01  0.339798E+00
  0.874497E+00  0.398322E+01  0.338917E+00
  0.878815E+00  0.465574E+01  0.336621E+00
  0.883133E+00  0.475009E+01  0.339372E+00
  0.887451E+00  0.448403E+01  0.340106E+00
  0.891769E+00  0.392387E+01  0.342184E+00
  0.896087E+00  0.344336E+01  0.337482E+00
