Dif/Atom/Shape/Bord 2Y9A_reres.p 0.005966
0.000000E+00 0.182606E+09 567215
0.196078E-02 0.182383E+09 589853
0.392157E-02 0.181727E+09 611864
0.588235E-02 0.180638E+09 633098
0.784314E-02 0.179123E+09 653420
0.980392E-02 0.177197E+09 672716
0.117647E-01 0.174871E+09 690850
0.137255E-01 0.172150E+09 707656
0.156863E-01 0.169062E+09 723055
0.176471E-01 0.165628E+09 736938
0.196078E-01 0.161863E+09 749175
0.215686E-01 0.157797E+09 759697
0.235294E-01 0.153454E+09 768415
0.254902E-01 0.148860E+09 775254
0.274510E-01 0.144043E+09 780156
0.294118E-01 0.139031E+09 783069
0.313725E-01 0.133855E+09 783976
0.333333E-01 0.128543E+09 782850
0.352941E-01 0.123124E+09 779686
0.372549E-01 0.117629E+09 774506
0.392157E-01 0.112085E+09 767328
0.411765E-01 0.106521E+09 758200
0.431373E-01 0.100963E+09 747169
0.450980E-01 0.954384E+08 734320
0.470588E-01 0.899707E+08 719726
0.490196E-01 0.845831E+08 703484
0.509804E-01 0.792972E+08 685702
0.529412E-01 0.741327E+08 666499
0.549020E-01 0.691074E+08 645998
0.568627E-01 0.642375E+08 624340
0.588235E-01 0.595369E+08 601663
0.607843E-01 0.550178E+08 578117
0.627451E-01 0.506902E+08 553851
0.647059E-01 0.465623E+08 529021
0.666667E-01 0.426404E+08 503780
0.686275E-01 0.389289E+08 478284
0.705882E-01 0.354306E+08 452690
0.725490E-01 0.321462E+08 427143
0.745098E-01 0.290753E+08 401792
0.764706E-01 0.262157E+08 376777
0.784314E-01 0.235640E+08 352232
0.803922E-01 0.211155E+08 328282
0.823529E-01 0.188645E+08 305046
0.843137E-01 0.168044E+08 282634
0.862745E-01 0.149274E+08 261138
0.882353E-01 0.132256E+08 240651
0.901961E-01 0.116900E+08 221244
0.921569E-01 0.103115E+08 202983
0.941176E-01 0.908066E+07 185921
0.960784E-01 0.798772E+07 170097
0.980392E-01 0.702292E+07 155539
0.100000E+00 0.617652E+07 142264
0.101961E+00 0.543888E+07 130276
0.103922E+00 0.480053E+07 119568
0.105882E+00 0.425227E+07 110126
0.107843E+00 0.378524E+07 101922
0.109804E+00 0.339092E+07 94919.3
0.111765E+00 0.306124E+07 89071.6
0.113725E+00 0.278856E+07 84329.6
0.115686E+00 0.256573E+07 80632.3
0.117647E+00 0.238609E+07 77914.2
0.119608E+00 0.224348E+07 76104.6
0.121569E+00 0.213225E+07 75127.6
0.123529E+00 0.204725E+07 74908
0.125490E+00 0.198385E+07 75365.3
0.127451E+00 0.193786E+07 76417.5
0.129412E+00 0.190559E+07 77983.8
0.131373E+00 0.188381E+07 79983.1
0.133333E+00 0.186966E+07 82338.4
0.135294E+00 0.186071E+07 84971.9
0.137255E+00 0.185492E+07 87811.2
0.139216E+00 0.185054E+07 90783.9
0.141176E+00 0.184617E+07 93828.5
0.143137E+00 0.184070E+07 96884.1
0.145098E+00 0.183326E+07 99895.9
0.147059E+00 0.182321E+07 102815
0.149020E+00 0.181013E+07 105598
0.150980E+00 0.179375E+07 108210
0.152941E+00 0.177398E+07 110623
0.154902E+00 0.175085E+07 112811
0.156863E+00 0.172449E+07 114759
0.158824E+00 0.169513E+07 116455
0.160784E+00 0.166308E+07 117899
0.162745E+00 0.162867E+07 119089
0.164706E+00 0.159229E+07 120032
0.166667E+00 0.155435E+07 120740
0.168627E+00 0.151528E+07 121231
0.170588E+00 0.147548E+07 121524
0.172549E+00 0.143538E+07 121642
0.174510E+00 0.139537E+07 121611
0.176471E+00 0.135582E+07 121457
0.178431E+00 0.131707E+07 121212
0.180392E+00 0.127941E+07 120902
0.182353E+00 0.124312E+07 120557
0.184314E+00 0.120842E+07 120204
0.186275E+00 0.117548E+07 119866
0.188235E+00 0.114446E+07 119572
0.190196E+00 0.111544E+07 119340
0.192157E+00 0.108848E+07 119187
0.194118E+00 0.106361E+07 119128
0.196078E+00 0.104077E+07 119171
0.198039E+00 0.101992E+07 119324
0.200000E+00 0.100097E+07 119587
0.201961E+00 0.983793E+06 119957
0.203922E+00 0.968243E+06 120426
0.205882E+00 0.954159E+06 120985
0.207843E+00 0.941347E+06 121617
0.209804E+00 0.929641E+06 122307
0.211765E+00 0.918816E+06 123031
0.213725E+00 0.908690E+06 123771
0.215686E+00 0.899047E+06 124499
0.217647E+00 0.889687E+06 125190
0.219608E+00 0.880444E+06 125819
0.221569E+00 0.871143E+06 126361
0.223529E+00 0.861627E+06 126795
0.225490E+00 0.851752E+06 127094
0.227451E+00 0.841400E+06 127241
0.229412E+00 0.830481E+06 127217
0.231373E+00 0.818913E+06 127006
0.233333E+00 0.806651E+06 126601
0.235294E+00 0.793667E+06 125993
0.237255E+00 0.779953E+06 125178
0.239216E+00 0.765529E+06 124158
0.241176E+00 0.750422E+06 122935
0.243137E+00 0.734687E+06 121518
